
Count: 72  Balance: 97.988  Reward: -1428.012  Higest ballance 100  Max_lose: -2.0049999999999955  Max_profit: 0  Number of losses: 2  Number of wins: 1
Count: 73  Balance: 100.011  Reward: -1414.99  Higest ballance 100.016  Max_lose: -0.013999999999995794  Max_profit: 0.034000000000006025  Number of losses: 4  Number of wins: 8
Count: 74  Balance: 98.98500000000001  Reward: -1410.017  Higest ballance 101.004  Max_lose: -3.0149999999999864  Max_profit: 1.0010000000000048  Number of losses: 4  Number of wins: 8
Count: 75  Balance: 99.0  Reward: -1429.0  Higest ballance 100  Max_lose: -0.9959999999999951  Max_profit: 0  Number of losses: 3  Number of wins: 3
Count: 76  Balance: 100.973  Reward: -1416.027  Higest ballance 100.98200000000001  Max_lose: -0.016999999999995907  Max_profit: 1.0030000000000001  Number of losses: 5  Number of wins: 8
Count: 77  Balance: 100.05600000000005  Reward: -1421.944  Higest ballance 100.05700000000003  Max_lose: -0.003999999999976467  Max_profit: 0.023000000000024556  Number of losses: 1  Number of wins: 7
Count: 78  Balance: 99.99600000000001  Reward: -1429.0040000000001  Higest ballance 100.016  Max_lose: -0.03900000000001569  Max_profit: 0.019000000000019668  Number of losses: 1  Number of wins: 4
Count: 79  Balance: 100.00899999999999  Reward: -1431.991  Higest ballance 100.01099999999998  Max_lose: -0.001999999999995339  Max_profit: 0.00899999999998613  Number of losses: 1  Number of wins: 3
Count: 80  Balance: 78.00400000000003  Reward: -1432.004  Higest ballance 100  Max_lose: -20.992999999999995  Max_profit: 0.012000000000014666  Number of losses: 6  Number of wins: 7
Count: 81  Balance: 95.99200000000005  Reward: -1421.001  Higest ballance 100.007  Max_lose: -1.0060000000000002  Max_profit: 0.007000000000005002  Number of losses: 5  Number of wins: 4
Count: 82  Balance: 100.01100000000001  Reward: -1428.989  Higest ballance 100.01100000000001  Max_lose: -0.006000000000014438  Max_profit: 0.007000000000005002  Number of losses: 1  Number of wins: 4
